http://dskg.org/entity/person/10039	Malrieu Florent	Single locus analysis, Two loci analysis, nan	Rouger Romuald, Reichel Katja, Stoeckel Solenn, Masson Jean Pierre	https://figshare.com/articles/Single_locus_analysis/4168794, https://figshare.com/articles/Two_loci_analysis/4168842, https://doi.org/10.5061/dryad.r08vm/3, https://doi.org/10.5061/dryad.r08vm/4
http://dskg.org/entity/person/10040	Masson Jean Pierre	Single locus analysis, Two loci analysis, nan	Rouger Romuald, Reichel Katja, Stoeckel Solenn, Malrieu Florent	https://figshare.com/articles/Single_locus_analysis/4168794, https://figshare.com/articles/Two_loci_analysis/4168842, https://doi.org/10.5061/dryad.r08vm/3, https://doi.org/10.5061/dryad.r08vm/4
http://dskg.org/entity/person/10040	Masson Jean Pierre	Single locus analysis, Two loci analysis, nan	Rouger Romuald, Reichel Katja, Stoeckel Solenn, Malrieu Florent	https://figshare.com/articles/Single_locus_analysis/4168794, https://figshare.com/articles/Two_loci_analysis/4168842, https://doi.org/10.5061/dryad.r08vm/3, https://doi.org/10.5061/dryad.r08vm/4
http://dskg.org/entity/person/10040	Masson Jean Pierre	Single locus analysis, Two loci analysis, nan	Rouger Romuald, Reichel Katja, Stoeckel Solenn, Malrieu Florent	https://figshare.com/articles/Single_locus_analysis/4168794, https://figshare.com/articles/Two_loci_analysis/4168842, https://doi.org/10.5061/dryad.r08vm/3, https://doi.org/10.5061/dryad.r08vm/4
http://dskg.org/entity/person/10040	Masson Jean Pierre	Single locus analysis, Two loci analysis, nan	Rouger Romuald, Reichel Katja, Stoeckel Solenn, Malrieu Florent	https://figshare.com/articles/Single_locus_analysis/4168794, https://figshare.com/articles/Two_loci_analysis/4168842, https://doi.org/10.5061/dryad.r08vm/3, https://doi.org/10.5061/dryad.r08vm/4
http://dskg.org/entity/person/10040	Masson Jean Pierre	Single locus analysis, Two loci analysis, nan	Rouger Romuald, Reichel Katja, Stoeckel Solenn, Malrieu Florent	https://figshare.com/articles/Single_locus_analysis/4168794, https://figshare.com/articles/Two_loci_analysis/4168842, https://doi.org/10.5061/dryad.r08vm/3, https://doi.org/10.5061/dryad.r08vm/4
http://dskg.org/entity/person/10040	Masson Jean Pierre	Single locus analysis, Two loci analysis, nan	Rouger Romuald, Reichel Katja, Stoeckel Solenn, Malrieu Florent	https://figshare.com/articles/Single_locus_analysis/4168794, https://figshare.com/articles/Two_loci_analysis/4168842, https://doi.org/10.5061/dryad.r08vm/3, https://doi.org/10.5061/dryad.r08vm/4
http://dskg.org/entity/person/10040	Masson Jean Pierre	Single locus analysis, Two loci analysis, nan	Rouger Romuald, Reichel Katja, Stoeckel Solenn, Malrieu Florent	https://figshare.com/articles/Single_locus_analysis/4168794, https://figshare.com/articles/Two_loci_analysis/4168842, https://doi.org/10.5061/dryad.r08vm/3, https://doi.org/10.5061/dryad.r08vm/4
http://dskg.org/entity/person/10040	Masson Jean Pierre	Single locus analysis, Two loci analysis, nan	Rouger Romuald, Reichel Katja, Stoeckel Solenn, Malrieu Florent	https://figshare.com/articles/Single_locus_analysis/4168794, https://figshare.com/articles/Two_loci_analysis/4168842, https://doi.org/10.5061/dryad.r08vm/3, https://doi.org/10.5061/dryad.r08vm/4
http://dskg.org/entity/person/10040	Masson Jean Pierre	Single locus analysis, Two loci analysis, nan	Rouger Romuald, Reichel Katja, Stoeckel Solenn, Malrieu Florent	https://figshare.com/articles/Single_locus_analysis/4168794, https://figshare.com/articles/Two_loci_analysis/4168842, https://doi.org/10.5061/dryad.r08vm/3, https://doi.org/10.5061/dryad.r08vm/4
http://dskg.org/entity/person/10041	Beige Joachim	Excel Dataset, nan		nan, https://doi.org/10.6084/m9.figshare.4232933.v1
http://dskg.org/entity/person/10042	A. Katz Laura	Table_S2, nan	R. Grant Jessica	https://figshare.com/articles/Table_S2/4257116, https://doi.org/10.5061/dryad.db78g.2/3.2
http://dskg.org/entity/person/10042	A. Katz Laura	Table_S2, nan	R. Grant Jessica	https://figshare.com/articles/Table_S2/4257116, https://doi.org/10.5061/dryad.db78g.2/3.2
http://dskg.org/entity/person/10042	A. Katz Laura	Table_S2, nan	R. Grant Jessica	https://figshare.com/articles/Table_S2/4257116, https://doi.org/10.5061/dryad.db78g.2/3.2
http://dskg.org/entity/person/10042	A. Katz Laura	Table_S2, nan	R. Grant Jessica	https://figshare.com/articles/Table_S2/4257116, https://doi.org/10.5061/dryad.db78g.2/3.2
http://dskg.org/entity/person/10043	R. Grant Jessica	Table_S2, nan	A. Katz Laura	https://figshare.com/articles/Table_S2/4257116, https://doi.org/10.5061/dryad.db78g.2/3.2
http://dskg.org/entity/person/10043	R. Grant Jessica	Table_S2, nan	A. Katz Laura	https://figshare.com/articles/Table_S2/4257116, https://doi.org/10.5061/dryad.db78g.2/3.2
http://dskg.org/entity/person/10043	R. Grant Jessica	Table_S2, nan	A. Katz Laura	https://figshare.com/articles/Table_S2/4257116, https://doi.org/10.5061/dryad.db78g.2/3.2
http://dskg.org/entity/person/10044	Brodsky Alexander S	Clustering analysis of microarray data, nan	Gama-Carvalho Margarida, Barbosa-Morais Nuno L, Silver Pamela A, Carmo-Fonseca Maria	nan, https://doi.org/10.6084/m9.figshare.11756.v1, https://doi.org/10.6084/m9.figshare.11756
http://dskg.org/entity/person/10044	Brodsky Alexander S	Clustering analysis of microarray data, nan	Gama-Carvalho Margarida, Barbosa-Morais Nuno L, Silver Pamela A, Carmo-Fonseca Maria	nan, https://doi.org/10.6084/m9.figshare.11756.v1, https://doi.org/10.6084/m9.figshare.11756
